TMAX
24.4
23.2
24.3
23.2
22.2
21.6
22.4
22.1
21.4
21.9
22.3
22
23
23
21.5
17.8
22.4
24
24.6
24.8
24
23.5
22
23
23.6
22.8
23
22.8
21
20
19.8
21.6
22.6
22.8
24.2
24
23.2
24.6
25
23.2
22
23
24.2
23.8
23.4
23.8
23.6
23
22.8
21.6
22
22.8
22.8
19.8
20
20.2
20
21.5
21.2
19.2
22.8
23
20
21
20
17
15.2
16.6
20
21.8
22.8
21
21.5
22
22
22.6
23.6
23.5
23.8
24
23.4
22.6
23.2
23
21.6
22.6
22.6
23.6
23.2
23.4
22.2
23
23
24.5
23.4
24.4
24.8
23.6
23.4
22.2
22.6
24.4
24
23.8
23.2
24.4
23
22
22.4
21.8
21.6
21.6
22.2
21.4
22.8
22.6
23
23.6
22.6
23.4
